TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,2.07955,0.0235012,0.578293,1.34663,0.0654088,1.85204,0.231146,1.08802,0.0525504,0.0217572,0.450176,0.660823
0.042666667,2.3974,0.00195457,0.45759,1.47732,0.0461013,2.03753,0.125444,1.20817,0.00321669,0,0.278465,0.51731
0.085333333,2.65149,0.000571895,0.332829,1.44983,0.061006,2.12571,0.0402814,1.26829,0.0345462,0,0.268542,0.292423
0.128000000,2.83751,0.0302902,0.388438,1.37115,0.0779627,2.14961,0.0495567,1.22448,0.0220298,0,0.352642,0.0393815
0.170666667,2.77092,0.0223324,0.405794,1.1171,0.100557,2.23974,0.231587,1.20981,0.0362559,0.0190403,0.349874,0
0.213333333,2.76989,0.18519,0.319337,0.957928,0.128694,2.08002,0.211921,1.30103,0.00594006,0.0514121,0.366943,0
0.256000000,2.78735,0.254305,0.0758521,1.24818,0.13878,1.98996,0.0994809,1.5184,0.00311818,0.0848136,0.159395,0
0.298666667,2.71472,0.17845,0.00228108,1.43735,0.284896,1.79376,0.0240198,1.45115,0.00431645,0.0512978,0.344546,0.060543
0.341333333,2.1283,0.0360297,0.00474116,1.57886,0.371133,1.67166,0.0850211,1.4048,0.0242674,0,0.368649,0.280908
0.384000000,1.29682,0.0209353,0.00256045,1.75047,0.329157,2.12024,0.264203,1.49059,0.0478778,0,0.208886,0.505535
0.426666667,1.29137,0.0746502,0.00102566,1.71025,0.184726,2.21124,0.395373,1.57563,0.0858982,0,0.277039,0.600099
0.469333333,1.51742,0.0569974,0.262375,1.51704,0.0953628,2.19108,0.345306,1.75245,0.114301,0.0290551,0.39449,0.338637
0.512000000,1.73103,0.0238139,0.780676,1.18654,0.0756317,2.00551,0.100182,1.71255,0.117765,0.0206993,0.687855,0.171504
0.554666667,1.8733,0.0112496,0.887514,1.07009,0.0779313,1.62023,0.0369457,1.6,0.12424,0,0.69408,0.152446
