TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.021333333,-591.083,-7.96792,10.7669,8.19587,8.67524,7.34852,-0.489226,0.824303,-1.00297,-0.122189,2.21947,3.99075,2.59373,1.39143,-2.30296,0.10187,1.61375,0.72029,-1.26301,-0.210946,3.17825
0.042666667,-362.436,61.7873,-9.6738,-22.0018,-1.11473,2.31503,-0.923658,-4.99844,-6.19218,-6.64492,0.871836,1.21969,0.962193,-3.09232,-0.670914,0.354602,2.9212,-2.49319,0.252864,-3.22411,-0.962492
0.064000000,-339.446,68.7894,-18.4457,-22.8659,-2.381,-6.03181,-4.10661,6.79144,-0.0261369,-3.20521,0.984992,3.58029,0.527573,-0.335419,-1.28542,1.4465,2.6025,1.46938,0.72307,0.983107,-1.17045
0.085333333,-334.781,66.1376,-22.1484,-17.3527,0.78405,-6.2008,0.996105,8.7993,-7.56078,-3.87386,2.67626,2.16324,-1.5565,-0.941282,-2.18784,1.36607,1.1801,0.644842,-0.652975,0.246959,-0.0237258
0.106666667,-335.467,64.1019,-21.0377,-19.9698,0.853762,-5.64687,-0.0314265,6.22185,-5.17774,-4.40351,3.64643,2.47134,-0.552906,-0.02883,-1.81846,-0.331289,0.219888,1.53891,-1.46188,-0.173716,-3.51587
0.128000000,-338.023,65.417,-21.238,-21.5477,-0.816293,-7.64586,0.554233,3.34683,-5.42772,-4.38946,1.82608,0.282738,-1.36381,-0.721051,-3.45043,-2.07754,0.94196,0.516372,-1.23194,-0.939186,-1.05001
0.149333333,-336.615,65.443,-16.1898,-21.814,-0.281648,-6.77712,-1.83605,3.67843,-8.24437,-6.03197,1.43017,-0.893399,-0.432694,-2.01717,-2.83457,-1.09432,0.0772054,0.357458,-0.723097,-1.62188,-1.17023
0.170666667,-340.954,71.498,-19.8323,-16.6061,-0.182144,-2.53678,-2.19094,5.66212,-7.27399,-3.92432,3.82321,2.26342,0.239042,0.733297,-3.3346,-0.199437,0.506647,0.271384,-0.432373,0.442478,-1.21649
0.192000000,-344.793,66.6346,-16.5682,-20.0816,0.0639756,-3.72459,-2.00368,2.7161,-6.42307,-2.8556,3.04033,2.71196,1.20568,-1.41896,-1.51452,-1.87646,1.06057,-2.69297,1.72948,-1.75158,-1.64763
0.213333333,-348.37,65.7024,-14.2293,-20.9403,-1.12751,-2.19211,-3.52412,0.72078,-7.23464,-3.42882,1.39898,0.936703,-1.46226,-1.13827,-3.42483,-1.10176,-0.967329,1.08633,-1.47108,0.692531,-0.675543
0.234666667,-352.363,65.9468,-10.8069,-20.0056,-3.45214,1.84123,-5.02956,0.457047,-7.94901,-0.205816,1.67797,2.47525,-3.29927,-1.08249,-1.55042,-0.313917,-1.18129,1.29157,-0.439185,-1.22725,-2.19232
0.256000000,-358.563,65.4228,-10.2472,-22.8532,-2.71454,0.263021,-2.6473,-0.531153,-4.33493,-0.711853,3.88923,1.38684,-3.01585,-2.7831,-0.96026,-1.63859,-0.624149,-1.68731,0.359331,-3.49948,-1.9005
0.277333333,-358.437,64.4373,-7.96128,-21.9538,-3.2973,1.89461,-2.68719,-2.02693,-5.96235,-1.99386,2.37552,-0.349606,-2.71039,-2.78852,0.360182,-2.13162,0.577932,-0.776508,0.392798,-2.01623,0.0996089
0.298666667,-358.862,61.9276,-4.84532,-24.6342,-3.27368,0.533519,0.465669,-2.03877,-2.53221,-1.80815,3.51995,1.48706,-0.734193,-1.67241,0.746224,-0.314609,-0.764223,-0.30408,-0.709573,-1.45519,-0.5686
0.320000000,-359.992,63.2298,-2.39526,-22.4255,-3.61916,2.09248,-0.478979,-2.31092,-5.04668,-4.24945,1.29861,1.34116,0.668949,0.0611415,1.69891,0.358827,-0.977055,-1.23515,-0.0587199,-2.76517,-1.59182
0.341333333,-371.759,64.5524,8.3797,-21.7285,-6.77315,-0.405279,-1.14282,-3.51211,-2.39355,-1.35872,-0.042207,-2.02236,0.998441,-1.78125,-2.30915,-1.83741,-2.34631,-2.49949,-0.0563768,-0.0293818,-0.60495
0.362666667,-375.947,60.6359,11.8734,-22.3911,-8.91927,-0.518819,0.347106,-3.86484,-1.55575,-1.51818,0.328753,0.599091,0.827017,0.376531,0.87888,-1.88386,-3.37638,-2.33632,-0.844019,-0.487989,-2.46217
0.384000000,-374.484,61.7049,11.074,-20.0548,-6.58208,1.87845,1.71483,-5.66111,-5.22832,-3.56324,0.159375,-1.47044,-0.683952,0.831857,1.83684,-0.716134,-1.58541,-2.6014,-1.82781,-2.98644,-1.00775
0.405333333,-375.905,60.8077,11.2362,-21.3379,-7.68124,0.271914,1.82834,-3.57752,-3.9053,-3.94873,2.17122,-0.158317,1.84822,-0.600693,0.746874,-0.362022,0.552258,-1.6264,-1.58247,-1.62989,-2.82362
0.426666667,-383.314,57.8601,10.8061,-18.4867,-4.70365,2.61105,2.43231,-4.49377,-6.11258,-5.63333,1.37398,-1.42351,-0.665722,-1.09566,-2.82414,-0.517648,2.0027,-2.20264,-2.91734,-2.13669,-0.18005
