"","Track URI","track_name","album_name","artist_name","release_date","song_dur","pop","exp","Added By","Added At","genre","record_label","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_sig","artist_group","mean_song_dur","mean_pop","mean_exp","mean_danceability","mean_energy","mean_loudness","mean_speechiness","mean_acousticness","mean_instrumentalness","mean_liveness","mean_valence","mean_tempo"
"1","spotify:track:7yNK27ZTpHew0c55VvIJgm","Dark Fantasy","My Beautiful Dark Twisted Fantasy - 2010","Kanye West",2010-11-22,280786,71,TRUE,"bobrossthelegend",2026-03-22 17:45:51,"rap","Roc-A-Fella",0.599,0.587,5,-5.919,1,0.0423,0.274,0,0.167,0.373,87.998,4,"Kanye West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","spotify:track:23SZWX2IaDnxmhFsSLvkG2","Gorgeous","My Beautiful Dark Twisted Fantasy - 2010","Kanye West",2010-11-22,357653,71,TRUE,"bobrossthelegend",2026-03-22 17:45:52,"rap,east coast hip hop,old school hip hop,hardcore hip hop,hip hop,boom bap","Roc-A-Fella",0.598,0.713,6,-3.625,0,0.0326,0.0207,0.000175,0.431,0.118,91.964,4,"Kanye West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","spotify:track:2gZUPNdnz5Y45eiGxpHGSc","POWER","My Beautiful Dark Twisted Fantasy - 2010","Kanye West",2010-11-22,292093,81,TRUE,"bobrossthelegend",2026-03-22 17:46:00,"rap","Roc-A-Fella",0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,4,"Kanye West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","spotify:track:4D6TpthzUVNTjWQqfBW5Kb","All Of The Lights (Interlude)","My Beautiful Dark Twisted Fantasy - 2010","Kanye West",2010-11-22,62253,60,TRUE,"bobrossthelegend",2026-03-22 17:46:02,"rap","Roc-A-Fella",0.296,0.0792,10,-16.569,0,0.0389,0.902,0.591,0.128,0.496,110.95,3,"Kanye West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","spotify:track:22L7bfCiAkJo5xGSQgmiIO","All Of The Lights","My Beautiful Dark Twisted Fantasy - 2010","Kanye West",2010-11-22,299613,82,TRUE,"bobrossthelegend",2026-03-22 17:46:06,"rap","Roc-A-Fella",0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,4,"Kanye West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK","Monster","My Beautiful Dark Twisted Fantasy - 2010","Kanye West",2010-11-22,378893,75,TRUE,"bobrossthelegend",2026-03-22 17:46:08,"rap,hip hop,east coast hip hop,southern hip hop","Roc-A-Fella",0.628,0.692,2,-5.64,1,0.202,0.00244,0.0129,0.668,0.0963,124.887,5,"Kanye West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","spotify:track:6K07Ahf6V7CAQn0ikrOztl","So Appalled","My Beautiful Dark Twisted Fantasy - 2010","Kanye West",2010-11-22,397666,63,TRUE,"bobrossthelegend",2026-03-22 17:46:11,"rap,hip hop,east coast hip hop","Roc-A-Fella",0.64,0.754,1,-5.873,0,0.283,0.255,0,0.63,0.584,87.15,4,"Kanye West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","spotify:track:1UGD3lW3tDmgZfAVDh6w7r","Devil In A New Dress","My Beautiful Dark Twisted Fantasy - 2010","Kanye West",2010-11-22,351946,79,TRUE,"bobrossthelegend",2026-03-22 17:46:12,"rap,southern hip hop","Roc-A-Fella",0.435,0.76,8,-4.935,0,0.0721,0.0175,0,0.158,0.206,80.082,4,"Kanye West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","spotify:track:3DK6m7It6Pw857FcQftMds","Runaway","My Beautiful Dark Twisted Fantasy - 2010","Kanye West",2010-11-22,547733,85,TRUE,"bobrossthelegend",2026-03-22 17:46:12,"rap","Roc-A-Fella",0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,4,"Kanye West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","spotify:track:3rCNmRonlHN1TXQLcG3dSk","Hell Of A Life","My Beautiful Dark Twisted Fantasy - 2010","Kanye West",2010-11-22,327786,69,TRUE,"bobrossthelegend",2026-03-22 17:46:13,"rap","Roc-A-Fella",0.449,0.813,8,-5.478,1,0.129,0.00142,0.000172,0.106,0.452,177.962,4,"Kanye West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
