TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.58518,0.966105,0.972228,0.880528,0.163726,0.318287,0,0.41063,0.0254993,0.444998,0.389754,0.974952
0.042666667,0.680527,0.557193,0.973565,0.908009,0.327862,0.219075,0,0.244883,0.804983,0.480897,0.163532,0.524168
0.085333333,0.462595,0.522424,0.687792,0.506008,0.36165,0.225521,0.00276008,0.0931621,1.18215,1.21623,0.145694,0.0902905
0.128000000,0.287428,0.301531,0.397819,0.571338,0.388859,0.142654,0.00164972,0.0735336,0.717387,2.14484,0.128686,0.0756554
0.170666667,0.100388,0.210253,0.144296,0.477438,0.424849,0.1254,0.0596317,0.0433644,0.514211,2.52953,0.124241,0.0402316
0.213333333,0.0922049,0.188619,0.0873982,0.298871,0.551577,0.112354,0.00290376,0.079009,0.431097,2.62291,0.148427,0.0486258
0.256000000,0.455179,0.400111,0.123707,0.063551,0.358051,0.103972,0.0809039,0.115626,0.550428,2.42209,0.168611,0.127948
0.298666667,0.63825,0.397296,0.160987,0.0395312,0.335526,0.092379,0.122659,0.463625,0.755518,2.64346,0.117969,0.155117
0.341333333,0.781051,0.417539,0.144768,0.0185884,0.621036,0.0299695,0.022515,0.38829,0.467999,2.73288,0.119652,0.158154
0.384000000,0.571362,0.388532,0.141118,0.00406174,0.829857,0,0.0688056,0.316607,0.197477,2.8048,0.11325,0.153488
0.426666667,0.372557,0.416216,0.177907,0.0118458,0.824816,0.139077,0.0783051,0.387127,0.117663,2.709,0.167309,0.151672
0.469333333,0.266801,0.431652,0.239018,0.0188494,0.780905,0.135048,0.0668784,0.658543,0.168745,2.43184,0.315387,0.133502
0.512000000,0.151213,0.70648,0.20791,0.106048,1.00531,0.0182021,0.0729046,1.02894,0.737196,1.7644,0.205288,0.089154
0.554666667,0.412993,0.185667,0.238917,0.098838,0.736368,0.079419,0.281841,0.362358,1.17986,1.69928,0.221743,0.0775776
0.597333333,0.363598,0.0447176,0.286818,0.0644425,0.315596,0.0857406,0.561377,0,0.778426,1.60034,0.225273,0.0949836
0.640000000,0.428132,0.384583,0.311196,0.0852403,0.278905,0.0836267,0.471468,0,0.778683,1.30954,0.172928,0.0910066
0.682666667,0.499662,0.237939,0.234117,0.172073,0.208749,0.0654889,0.415336,0.0226692,1.7829,0.782738,0.124929,0.410151
0.725333333,0.49356,0.170206,0.213732,0.432451,0.151861,0.0229595,0.293224,0.0394977,3.25594,0.207796,0.122133,0.527329
0.768000000,0.402246,0.152283,0.129885,0.798256,0.0211333,0.0107878,0.0786469,0.0297971,3.94874,0,0.12205,0.528418
0.810666667,0.293639,0.0632562,0.0389543,0.978647,0.152644,0.115613,0.0277069,0.468441,3.42582,0.069843,0.120977,0.309613
0.853333333,0.154532,0.236071,0.00442047,0.518327,0.639874,0.244421,0,1.77697,1.90208,0.34283,0.163241,0.730117
0.896000000,0.145265,0.778537,0.0479878,0.0206694,0.669227,0.33541,0.00541463,3.58719,0,0.533107,0.174816,1.24712
0.938666667,0.204734,0.447059,0.555188,0.00171106,0.362311,0.0701956,0.188965,3.79026,0,0.490228,0.162495,1.23201
0.981333333,0.163314,0.317608,0.645606,0.0467151,0.188703,0.0770263,0.406824,3.59261,0,0.395273,0.130429,1.20266
1.024000000,0.31794,0.943562,0.464655,0.138378,0.0220284,0.0899703,0.710956,2.99243,0,0.458095,0.239134,1.09916
1.066666667,0.548074,1.2266,0.00711816,0.334956,0.015398,0.126542,1.64057,1.99397,0,0.440505,0.123831,0.984681
1.109333333,1.19827,0.523543,0.0842622,1.09194,0.00988267,0.668267,1.53711,0.479223,0.317599,0.354825,0.143754,0.495309
1.152000000,0.759848,0.358534,0.0856068,0.73077,0,0.813049,1.3596,1.74121,0.662581,0.160084,0.162261,0.667194
