TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0,0.579067,0.672515,1.70714,0.0713268,0.964085,1.53445,0.261476,0.0138588,1.19837,0.19746,2.19367,0.153948
0.042666667,0.735006,0.413118,1.79137,0.0955315,0.295673,1.51013,0.19729,0.00327517,1.71022,0.163712,2.10514,0.187574
0.085333333,0.787761,0.196793,2.10589,0.12834,0.0844723,1.47403,0.0991881,0,2.01511,0.115856,2.19856,0.234062
0.128,0.740662,0.0296514,2.37612,0.138903,0,1.35795,0.0987423,0,2.2418,0.0795258,2.28978,0.233961
0.170666667,0.623083,5.93257e-4,2.48286,0.159714,0,1.42703,0.0798818,0,2.3667,0.0479644,2.01806,0.117824
0.21333333300000001,0.667682,0,2.39246,0.158701,0.00507394,1.8897,0.069836,0,2.35633,0.0259005,1.71172,0.0482397
0.256,0.710672,0,2.29758,0.174599,0.00615041,2.05179,0.0785456,0,2.3471,0.0220904,1.82048,0.0280839
0.298666667,0.717541,0,2.23872,0.158147,0.00710079,2.14506,0.035844,0,2.34589,0.0183388,1.96045,0.025634
0.341333333,0.725893,0,2.14381,0.129828,0.0036497500000000002,2.53481,9.69146e-4,0,2.27886,0.0220282,1.91979,0.0315647
0.384,0.673745,6.26247e-4,2.12239,0.107238,0,2.58453,0,0.0596688,2.14743,0.0236057,2.09389,0.0363136
0.426666667,0.673401,0.0020334,2.15603,0.106862,0,2.48232,7.80807e-5,0.0842356,2.09571,0.0184455,2.30721,0.0341977
0.469333333,0.722799,0.00170451,2.30347,0.123003,0,2.45637,0.022676,0.0447526,2.02194,0.0280043,2.2485,0.0353418
0.512,0.689986,3.26492e-4,2.3445,0.136013,0.00513186,2.614,0,0.0498509,2.11061,0.0305341,2.02254,0.0321376
0.554666667,0.693294,0,2.20702,0.128236,0.0073119,2.51687,0,0.0724043,2.24894,0.0254517,2.08564,0.0271221
0.597333333,0.640923,0.0018184,2.03281,0.120387,0.00126967,2.68852,0,0.0502179,2.27016,0.0193629,1.98097,0.0328631
0.64,0.583597,0.0477126,1.94312,0.092611,0,2.8523,0,0.0262429,2.13348,0.020564,1.72953,0.037292
0.682666667,0.656314,0.185543,1.59061,0.0951556,0,2.90203,0,0,2.12529,0.0233058,1.39315,0.0417698
0.725333333,0.655987,0.242137,1.26735,0.0444539,0,2.72898,0,0.0126828,2.15829,0.0212695,1.51077,0.0417847
0.768,0.58042,0.163387,1.06999,0.073462,0,2.78729,0,0.0146137,2.1891,0.0161147,1.77565,0.0430039
0.810666667,0.582799,0.00345421,1.34213,0.142124,0,2.90268,0,0.0360049,2.10615,0.0199965,1.92778,0.0399888
