"","TIME","A","Bb","B","C","C#","D","Eb","E","F","F#","G","Ab"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
"11",0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
"12",0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
"13",0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.603718821,0.0786234,0.159721,0.160532,2.71469,0.035415,0.141393,0.112716,1.01225,0.0724606,0.11571,2.23606,0.146802
"15",0.65015873,0.0507337,0.284184,0.12348,3.20186,0.0146673,0.0375649,0.0492325,1.15622,0.0506914,0.116832,2.31477,0.0133348
"16",0.696598639,0.0749672,0.543527,0.0708464,3.37668,0.011814,0,0.0169284,1.16515,0.0117067,0.090214,2.20785,0
"17",0.743038549,0.257979,0.638896,0.000681334,3.42553,0.0188504,0,0.0153691,0.979522,0.00156017,0.149269,1.95235,0
"18",0.789478458,0.443707,0.454536,0,3.34591,0.0178938,0.00829743,0.103511,0.840441,0.00252015,0.149083,1.81494,0
"19",0.835918367,0.500875,0.355501,0.00107087,3.17824,0.00445983,0.00448024,0.129737,0.643603,0.00423606,0.0467264,1.8542,0.162555
"20",0.882358277,0.44527,0.280271,0.00462896,3.26929,0.00874626,0.011398,0.151352,0.551253,0.0303643,0.0360333,1.85763,0.197602
"21",0.928798186,0.263743,0.370143,0.124908,3.01276,0.0220594,0.0362494,0.155969,0.683977,0.0644819,0.0445913,1.99401,0.155876
"22",0.975238095,0.109727,0.275144,0.107342,3.0243,0.0400245,0.0727008,0.137792,0.847856,0.061707,0.0383576,1.82016,0.0351904
"23",1.021678005,0.121165,0.194579,0.0128659,2.91113,0.0396551,0.0818549,0.0938319,0.893851,0.0506838,0.0268143,1.79997,0.0815373
"24",1.068117914,0.172709,0.224894,0.00959656,3.22939,0.0152468,0.0705936,0.0878228,1.03536,0.0173709,0.0417631,1.53808,0.0541335
"25",1.114557823,0.210238,0.331733,0.000427066,3.45169,0.0072966,0.37738,0.1546,1.11369,0.0115131,0.12254,1.32559,0
"26",1.160997732,0.180463,0.510303,0.00127729,3.45159,0,0.468322,0.100441,1.23803,0.0115333,0.132932,1.2911,0.0102211
"27",1.207437642,0.150554,0.462989,0.0256795,3.37043,0.00558505,0.345635,0.0895029,1.35522,0.0394133,0.129109,1.56115,0
"28",1.253877551,0.125748,0.531559,0.00316703,3.41674,0.0170853,0.129766,0.0213415,1.29543,0.0308057,0.0951815,1.64028,0
"29",1.30031746,0.0805019,0.692711,0.00345046,3.53167,0.00439053,0.0439627,0.0477753,1.14644,0.00247053,0.0208301,1.45247,0.0566031
"30",1.34675737,0.0871864,0.696327,0.00231783,3.62029,0,0.0855,0.0436542,1.17803,0.0110301,0.0564287,1.3276,0.185914
"31",1.393197279,0.137194,0.525429,0.0100155,3.6013,0.0278354,0.105122,0.0795249,1.30369,0.0140527,0.0861104,1.35832,0.0217383
"32",1.439637188,0.31194,0.229915,0,3.50304,0.0355987,0.0502961,0.138721,1.2795,0.0401021,0.102981,1.45424,0.0835651
"33",1.486077098,0.3313,0.0400165,0.0851961,2.99622,0.0374485,0.0694089,0.155393,1.08446,0.04431,0.105174,1.4684,0.149583
"34",1.532517007,0.354519,0.141659,0.140136,2.62786,0.0286704,0.0766121,0.186597,0.963129,0.0450696,0.0691137,1.44522,0.165507
"35",1.578956916,0.343342,0.173366,0.142614,2.74885,0.0292598,0.0628792,0.216158,0.887607,0.0536967,0.0668918,1.52381,0.19949
"36",1.625396825,0.360483,0.140302,0.0583083,3.04784,0.0220863,0.0655324,0.208006,0.895809,0.0158643,0.11119,1.54377,0.176068
"37",1.671836735,0.359935,0.161426,0.0453118,3.09419,0.0244105,0.0725543,0.0847105,0.952898,0.0314551,0.0838938,1.59783,0.089807
"38",1.718276644,0.313145,0.17531,0.0366067,3.09632,0.00547811,0.220932,0.0611622,1.00158,0.0157801,0.058437,1.76215,0.221788
"39",1.764716553,0.289271,0.214643,0.0234312,3.23903,0,0.401096,0.0449476,1.11582,0.0154129,0.00886706,1.69616,0.316449
"40",1.811156463,0.266952,0.301197,0.00074752,3.2956,0,0.284461,0.0507404,1.17505,0.0372199,0.00971337,1.3401,0.292548
"41",1.857596372,0.291816,0.345639,0.000538314,3.41234,0,0.114735,0.0933415,1.18943,0.0191467,0.0556925,1.07118,0.197772
"42",1.904036281,0.312567,0.322046,0.106174,3.43785,0.00848745,0.0721845,0.0889225,1.1632,0.0139872,0.0256796,1.25692,0.240263
"43",1.95047619,0.275334,0.221264,0.165929,3.0818,0.00426215,0.0930076,0.0423174,0.906331,0.0574354,0.011663,1.63152,0.523144
"44",1.9969161,0.187526,0.23075,0.152897,3.21207,0.0093423,0.0818241,0.0653124,0.8658,0.0892816,0.00940984,1.76118,0.468955
"45",2.043356009,0.229924,0.193131,0.130203,3.40602,0.0233845,0.0560367,0.0964282,0.939164,0.103849,0.00619659,1.70622,0.319477
"46",2.089795918,0.224177,0.151053,0.150204,3.4533,0.150293,0.0561078,0.121654,1.03878,0.0722878,0.0312189,1.44355,0.166506
"47",2.136235828,0.19063,0.197728,0.0926238,3.46969,0.260221,0.0825537,0.182324,1.14297,0.036356,0.0709862,1.36177,0
"48",2.182675737,0.141657,0.334395,0.0291519,3.16426,0.176983,0.172799,0.193524,1.09092,0.0136365,0.0841278,1.57123,0
"49",2.229115646,0.26093,0.331901,0.00718837,2.76957,0.410247,0.0517728,0.106397,1.08131,0.0163081,0.379416,1.81973,0.115103
"50",2.275555556,0.399995,0.197314,0.00466498,2.79276,0.378246,0.0396052,0.0672473,1.21271,0.00896354,0.419164,1.69374,0.140811
"51",2.321995465,0.459782,0.157192,0.0132978,2.95044,0.338103,0.142965,0.106517,1.3145,0.0072897,0.386569,1.39772,0.0734024
"52",2.368435374,0.485861,0.114805,0.0817039,2.99178,0.304849,0.128996,0.150375,1.16475,0.0105767,0.301035,1.28356,0.0386605
"53",2.414875283,0.454918,0.0594401,0.00212742,2.6525,0.24998,0.116555,0.105789,1.07587,0.0149762,0.140458,1.7081,0.369925
"54",2.461315193,0.320628,0.017882,0.00330579,2.92602,0.0982825,0.0930904,0.0495204,1.01839,0.0344499,0.0775107,1.92779,0.453697
"55",2.507755102,0.238838,0.0213834,0.0029175,3.13388,0.132075,0.184962,0.0313801,1.10765,0.0362055,0.00982288,1.97679,0.312947
"56",2.554195011,0.126778,0.154617,0.0032351,3.06796,0.0574733,0.173699,0.0276803,1.27994,0.0773164,0.0226316,2.06491,0.284695
"57",2.600634921,0.210849,0.294182,0.00351173,2.84747,0.00348438,0.109982,0.0325081,1.29842,0.0821804,0.0361758,1.87373,0.444001
"58",2.64707483,0.293145,0.281587,0.00453487,2.92202,0.00467034,0.0130618,0.0361057,1.18523,0.0449573,0.0308299,1.79858,0.571153
"59",2.693514739,0.309728,0.117022,0.00499685,3.38664,0,0.096238,0.0341855,1.14434,0.0368607,0.0187234,1.73806,0.519775
"60",2.739954649,0.214047,0.151079,0.00443893,3.47696,0.100101,0.22597,0.0115811,1.26685,0.045624,0.0144468,1.7528,0.269276
"61",2.786394558,0.19417,0.24185,0.00429419,3.33236,0.253341,0.211954,0,1.40893,0.00388951,0.255197,1.67091,0.0244816
"62",2.832834467,0.196528,0.245444,0.00367253,2.95542,0.312932,0.119861,0.0185462,1.37371,0.00406098,0.16834,1.67742,0.0982299
"63",2.879274376,0.222405,0.216858,0.00219566,3.04382,0.155884,0.0631799,0.0811866,1.15391,0.00948925,0.0370018,1.62228,0.152938
"64",2.925714286,0.261538,0.154239,0.000239187,3.23981,0.0716942,0.145868,0.101039,1.25573,0.0105065,0.0105921,1.49657,0
"65",2.972154195,0.365908,0.154386,0.000218421,3.18272,0.0263183,0.201806,0.0402895,1.5513,0.00539286,0.0130017,1.56564,0
"66",3.018594104,0.41473,0.269794,0.0673576,2.85146,0.0151692,0.100799,0,1.81635,0.0040432,0.00929799,1.67938,0.0736121
"67",3.065034014,0.367821,0.349518,0.11157,2.63204,0.0913935,0.0947664,0.00873828,1.88207,0.00445105,0.0432041,1.65178,0.10366
"68",3.111473923,0.313549,0.426523,0.158773,2.4145,0.367014,0.074599,0.0337632,1.71935,0.0435624,0.0583721,1.78604,0.0856023
"69",3.157913832,0.325321,0.407945,0.0875791,2.36085,0.154857,0.047449,0.0578606,1.55144,0.0952644,0.0433024,1.79399,0.127393
"70",3.204353741,0.415571,0.300505,0.111004,2.64168,0.0096967,0.0387085,0.0558917,1.47094,0.164962,0.0528427,1.62325,0.132613
"71",3.250793651,0.654546,0.17768,0.246728,2.97764,0.0403068,0.0384112,0.0315865,1.49912,0.0417371,0.0725974,1.88158,0.0164474
"72",3.29723356,0.806739,0.33854,0.251437,3.07093,0.0915556,0.0367022,0.0105366,1.54529,0.0115417,0.0557842,2.09251,0
"73",3.343673469,0.695497,0.322968,0.0994207,3.08658,0.0397092,0.0508612,0.00736182,1.55025,0.0148267,0.0372142,1.94236,0.014634
"74",3.390113379,0.344338,0.174113,0.030743,2.97702,0.0232054,0.0635858,0,1.55947,0.0106311,0.125366,1.76582,0.387852
"75",3.436553288,0.17446,0.197727,0.0305836,3.1414,0.025561,0.0793434,0,1.32663,0.00760027,0.0907254,1.5377,0.465541
"76",3.482993197,0.293143,0.18023,0.0942349,2.91408,0.0417918,0.0705133,0,1.34483,0.0448372,0.0223663,1.76988,0.391871
"77",3.529433107,0.712898,0.126458,0.153618,2.89056,0.0797109,0.0533043,0.027781,1.49995,0.0802491,0.0172137,1.86423,0.13758
"78",3.575873016,0.82857,0.224948,0.112114,2.97838,0.140693,0.0543751,0.0603445,1.44089,0.0758559,0.183987,1.84285,0
"79",3.622312925,0.596228,0.391795,0.000652842,3.01882,0.143956,0.168929,0.0968818,1.31117,0.0717285,0.310539,1.74421,0
"80",3.668752834,0.282753,0.422781,0.000786684,2.90611,0.0265533,0.387176,0.211864,1.1003,0.0804439,0.38016,1.54683,0.0463012
"81",3.715192744,0.433192,0.242451,0.109741,2.76655,0.0290926,0.115908,0.263655,0.922339,0.0995042,0.380185,1.3642,0.055853
"82",3.761632653,0.484548,0.0694384,0.114651,2.4451,0.0301386,0.0718009,0.176971,0.874923,0.0994755,0.494554,1.36604,0.00899742
"83",3.808072562,0.509197,0.0435546,0.0623716,2.64362,0.0301445,0.0837876,0.0626695,0.928457,0.03225,0.519558,1.64156,0.0306901
"84",3.854512472,0.463952,0.0842679,0.00322345,2.99586,0.0246194,0.079402,0.0174628,1.31137,0.0220381,0.366601,1.98046,0
"85",3.900952381,0.378225,0.160722,0.0225433,3.61134,0.0359297,0.0552483,0,1.48104,0.0443698,0.209212,2.13178,0
"86",3.94739229,0.281616,0.12888,0.128065,3.83427,0.12667,0.047034,0,1.35297,0.000961658,0.00494282,1.97529,0
"87",3.9938322,0.30466,0.0579121,0.0348487,3.7016,0.0948116,0.0345452,0,1.57066,0.0968384,0.00485652,1.58283,0.0833883
"88",4.040272109,0.27796,0.0921841,0.00411678,3.65653,0.0366519,0.0326889,0,1.58837,0.282796,0.0402364,1.36925,0.144423
"89",4.086712018,0.32737,0.218429,0.00485862,3.54653,0.125326,0.0386259,0.0188476,1.37722,0.199737,0.0414586,1.39953,0.131364
"90",4.133151927,0.484919,0.43943,0.00510279,3.23249,0.297013,0.0376118,0.159057,1.20862,0.117038,0.032919,1.40666,0.0164966
"91",4.179591837,0.965701,0.379587,0.00580952,3.03847,0.440111,0.0320055,0.172846,1.02938,0.0681058,0.0401394,1.32703,0.0201372
"92",4.226031746,1.03312,0.177826,0.0588116,3.08877,0.38219,0.0552871,0.116216,1.13323,0.00684637,0.0147912,1.23862,0.0182664
"93",4.272471655,1.01072,0.206252,0.0908028,2.97138,0.326392,0.0591452,0.0649337,1.27955,0.0113331,0.0526847,1.47148,0.0131705
"94",4.318911565,0.626508,0.146537,0.294253,2.64255,0.271648,0.0509531,0.0105275,1.52676,0.0160176,0.0577923,1.83736,0.0200986
"95",4.365351474,0.315915,0.171257,0.176317,2.69638,0.125798,0.0717898,0.0190894,1.85934,0.0147234,0.0257032,1.84957,0
