TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0.318929,0.0648247,0.535364,1.04711,0.195604,0.609781,0.573739,0.454005,0.319171,0.605907,1.47882,0.735486
0.085333333,0.426243,1.06774,1.12028,0.7783,0.302835,0.582361,0.25894,0.360402,0.619448,0.719258,0.730041,0.85367
0.128000000,0.918994,1.10693,0.59081,0,0.200095,0.694495,0.186536,0.189471,2.80846,0.771888,0.174041,0.443484
0.170666667,0.855644,0.637245,0.146811,0.574082,0.218021,0.771399,0.259734,0.884527,2.68075,0.545213,0.169584,0.09434
0.213333333,1.54143,0.00206818,0.230046,1.54246,0.144606,0.786426,0.265073,1.21166,1.89815,0.334767,0.263893,0.0468248
0.256000000,2.07857,0.005079,0.588225,1.76557,0,0.732575,0.227602,1.76152,1.30266,0.165191,0.361945,0.00810468
0.298666667,2.18169,0.0437178,0.522864,1.97753,0.0283579,0.682946,0.0889665,2.08116,1.2562,0.0475328,0.25615,0
0.341333333,2.16845,0.165213,0.230259,2.10215,0.126315,0.734324,0,2.02313,1.20136,0.0823344,0.134587,0
0.384000000,2.119,0.173448,0.0535716,2.1992,0.102275,0.731588,0,1.88253,1.28617,0.0841711,0.0562259,0
0.426666667,2.08218,0.172112,0.00126298,2.3861,0.0100792,0.612,0.0806686,1.61089,1.5393,0.257308,0.0249214,0.24253
0.469333333,2.16051,0.0587002,0,2.29575,0.00870355,0.576363,0.130116,1.35215,2.14675,0.334797,0.0630948,0.0942961
0.512000000,2.39315,0.229114,0,2.58618,0.0233651,0.395323,0.0224719,1.15047,2.36668,0.224633,0.0694563,0
0.554666667,2.4917,0.220961,0,2.65414,0,0.500748,0.0367641,1.11768,2.40454,0.290782,0.0835602,0.0333568
0.597333333,2.5557,0.0754472,0.00199515,2.65243,0,0.544257,0.0164163,1.17807,2.34064,0.420187,0.111614,0.0471052
0.640000000,2.56066,0.00264154,0.0266067,2.64065,0,0.473853,0.00398207,1.19951,2.2531,0.432848,0.114167,0.0512384
0.682666667,2.44143,0.00247782,0.0252315,2.68577,0.062732,0.465677,0.102842,1.53581,1.98909,0.381636,0.0836327,0.0687327
0.725333333,2.41928,0.0024575,0.000902317,2.76832,0.0218157,0.696384,0.143491,1.82216,1.7999,0.387017,0.0538459,0.0994577
0.768000000,2.56648,0.0440699,0.000440336,2.83149,0.00636184,0.774226,0.133584,1.88412,1.60733,0.369396,0.077304,0.0637642
0.810666667,2.55544,0.0194758,0,2.81352,0.0179015,0.784321,0.125557,1.77393,1.59889,0.371137,0.11479,0.0407295
0.853333333,2.31232,0.00269853,0,2.79184,0.0282876,0.677238,0.160253,1.82645,1.48378,0.304859,0.131948,0.0173147
0.896000000,2.14782,3.82031e-05,0,2.75013,0.0263155,0.928779,0.228568,1.92089,1.35537,0.243054,0.141112,0.0824218
0.938666667,1.97892,0.00100841,0,2.78488,0.125225,0.6858,0.0679259,2.01067,1.48303,0.315377,0.177049,0.441353
0.981333333,2.01191,0.0367934,0,2.81184,0.0116653,0.494062,0.0640154,2.0159,1.64883,0.298228,0.146558,0.395575
1.024000000,2.20634,0.0510076,0,2.69559,0.00926825,0.55223,0.051373,1.92505,1.8176,0.214535,0.0329269,0.11149
1.066666667,1.73285,0,0.108389,2.58741,0.0158613,0.551873,0.0573487,1.85097,1.96977,0.204801,0.00618219,0.0305827
1.109333333,1.65585,0,0.153839,2.43094,0.0029422,0.657986,0.0747076,1.74523,2.2529,0.16307,0.0133764,0.0291943
1.152000000,1.83519,0.0640124,0.104133,2.48397,0,0.572528,0.0677861,1.93228,2.0896,0.0980805,0.0639534,0.0520665
1.194666667,1.97516,0.157805,0.0818976,2.4692,0.00614824,0.526637,0.0491909,2.22735,1.84162,0.0764606,0.0865211,0.125251
1.237333333,1.61626,0.0744117,0.024381,2.3891,0.0853221,0.448664,0.131247,2.48184,1.64705,0.15527,0.0607916,0.655857
1.280000000,1.79175,0.109199,0.000671779,2.24445,0.160357,0.751385,0.0833488,2.31145,1.7457,0.167846,0.0217229,0.61985
1.322666667,2.15998,0.182815,0.000535602,2.28915,0.00400253,0.815209,0,2.21968,1.86498,0.0787657,0.0288135,0.29545
1.365333333,2.2064,0.0537073,0.000239851,2.43147,0,0.869111,0.006262,2.302,1.91502,0.0126191,0.0235555,0.220217
1.408000000,1.60504,0.00130401,0.0449743,2.50399,0.103971,0.936407,0.122352,2.6144,1.54614,0.0406341,0,0.269764
1.450666667,1.22193,0.0012169,0.105041,2.35333,0.00270159,0.975568,0.146146,2.54403,1.19077,0.1225,0.0841484,0.796763
1.493333333,1.20569,0.00161088,0,2.41192,0,0.909786,0.140833,2.43798,1.3137,0.25284,0.022801,0.641448
1.536000000,1.86921,0.0145009,0,2.35613,0.00623191,0.784194,0.100284,2.16162,1.54048,0.251735,0,0.255761
1.578666667,2.26392,0.0628779,0,2.03878,0.00880003,0.698254,0.0618146,2.2228,1.79854,0.215946,7.27821e-05,0.0463452
1.621333333,1.98445,0.0361338,0.124969,1.59871,0.00955476,0.692362,0.07385,2.64918,1.83812,0.163632,0,0.0316483
1.664000000,1.83793,0.125676,0.115661,1.83534,0.00881904,0.82898,0.0921474,2.81194,1.59735,0.285982,0,0.0891534
1.706666667,1.7923,0.196917,0.129536,2.5321,0.0398621,0.837535,0.0775992,2.59321,1.47856,0.34172,0.0684292,0.127597
1.749333333,1.60633,0.16374,0,2.91331,0.065011,0.826102,0.0626842,2.47499,1.40341,0.354392,0.188192,0.189275
1.792000000,1.38804,0.169252,0,2.79536,0.0552784,0.608995,0.183046,3.00288,0.531302,0.71674,0.0615614,0.525956
1.834666667,1.39896,0.436253,0.284249,1.6796,0.0306812,0.392754,0.0717551,3.31857,0.087454,0.786297,0.047844,0.869533
1.877333333,1.60148,0.431082,0.533634,1.2602,0.012251,0.251077,0.0278515,3.0568,0.0495776,0.653559,0.0770776,0.705314
1.920000000,1.52358,0.300969,0.768153,1.23102,0.0122283,0.369756,0,2.95673,0.0389055,0.512911,0.0634027,0.750015
1.962666667,1.58577,0.0782711,0.974378,1.24031,0.0138817,0.365375,0.0279408,3.05681,0.105749,0.587211,0,0.765368
2.005333333,1.78631,0.0817611,0.998092,1.15371,0.144471,0.430473,0.0680245,2.91586,0.133613,0.67797,0,0.775768
2.048000000,2.0318,0.0818745,1.29592,1.15611,0.12826,0.718014,0.099747,2.19312,0.596493,0.634632,0,0.684728
2.090666667,2.56576,0.168587,1.19586,1.27922,0.0945697,0.622029,0.0667799,2.27732,0.850048,0.450301,0,0.285601
2.133333333,2.69284,0.312509,1.01256,1.50076,0.00376074,0.757558,0.0460545,2.58679,0.881125,0.253523,0.00990115,0.159369
2.176000000,2.21274,0.128913,0.341668,1.43051,0.0109309,0.694424,0.221797,2.67807,0.771768,0.476388,0.00925783,0.125116
2.218666667,1.92719,0.0812339,0.0066355,1.29886,0,1.01891,0.20363,2.64285,0.592847,0.361489,0,0.133312
2.261333333,2.0861,0.128169,0.00464046,1.0484,0,1.24379,0.17039,2.27349,0.390727,0.133483,0.0592251,0.109128
2.304000000,2.15194,0.138329,0.00409771,1.28414,0,1.30143,0.21386,1.83436,0.282191,0.127476,0.0973138,0.00464341
2.346666667,2.05865,0.106158,0.0574538,1.13443,0.00169113,1.50226,0.602821,1.40543,0.178191,0.340206,0.264949,0.0296891
2.389333333,1.7463,0.0658362,0.168905,0.482402,0,2.09064,0.867941,0.956903,0.144786,0.619589,0.658549,0.172386
2.432000000,1.71982,0.230417,0.0945682,0.297352,0.0103409,2.3031,0.860582,0.818307,0.0388053,0.524196,0.713994,0.100826
2.474666667,1.85154,0.292749,0.0654066,0.332441,0.0166407,2.94164,0.111107,1.06779,0.0386195,0.458062,0.314939,0.0439089
2.517333333,2.00921,0.0819624,0.10998,0.594244,0.0102329,3.07706,0.0357363,1.35583,0.249165,0.531199,0.0294519,0.651502
2.560000000,2.07929,0.100744,0.0589213,0.896117,0,2.86735,0.11542,1.39096,0.298596,0.560428,0.118183,0.642186
2.602666667,2.08391,0.0602366,0.000755876,0.994759,0,2.77704,0.141954,1.56087,0.435289,0.612723,0.268415,0.550679
2.645333333,1.9487,0.186174,0.00054156,1.0694,0.0185974,2.81009,0.148067,1.8297,0.398343,0.685506,0.295642,0.286723
2.688000000,1.65748,0.121938,0.00281108,1.15794,0.00490347,3.06955,0.127031,1.96763,0.275063,0.685726,0.105416,0.17887
2.730666667,1.92578,0.0160432,0.00455658,0.967016,0,3.30014,0.160719,1.65362,0.455193,0.66097,0.171367,0.153883
2.773333333,2.13138,0.00466505,0.0253177,0.87486,0.00554874,3.21359,0.177554,1.82206,0.428001,0.533582,0.339129,0
2.816000000,2.46194,0.120907,0.0667184,0.897958,0.0146398,2.82118,0.194844,2.03903,0.251532,0.36508,0.234485,0
2.858666667,2.97482,0.114747,0.060498,1.03766,0.0145475,2.22186,0.140709,2.26891,0.188653,0.171057,0,0
2.901333333,2.96325,0.0512863,0.0423106,2.38701,0.0124466,1.55453,0.151831,2.16363,0.1401,0.178297,0.00511356,0
2.944000000,2.68846,0.0118109,0,3.04718,0.0119924,0.990807,0.188292,2.20443,0.193756,0.333166,0.403363,0.0277083
2.986666667,2.65784,0.0455933,0.00212024,3.32791,0,0.628199,0.165338,2.22735,0.194576,0.279956,0.502594,0.0322143
3.029333333,2.59901,0.117386,0.0034314,3.24531,0.0182965,0.378943,0.10887,2.47083,0.692638,0.191327,0.146042,0.0216657
3.072000000,2.44131,0.00779288,0.000942375,2.78609,0.366192,0.287346,0.0764239,2.91649,0.65557,0.129524,0.017589,0.0596657
3.114666667,2.14813,0,0.0663224,2.19932,0.362301,0.472955,0.0763443,2.93658,0.203137,0.137182,0,0.458241
3.157333333,2.06001,0,0,2.15658,0.259202,0.571211,0.102917,2.81319,0.0361062,0.118309,0.00672918,0.734677
3.200000000,2.01074,0.0304436,0,2.37482,0.0485422,0.406492,0.0877807,2.98396,0.0797903,0.136845,0.065837,0.792596
3.242666667,2.43051,0.117152,0.0834053,2.5767,0.0446947,0.195936,0.0638709,3.20028,0.128588,0.262534,0.0687423,0.546164
3.285333333,2.39554,0.068728,0.290237,2.67109,0.0261427,0.146975,0.140635,3.21565,0.140244,0.47533,0.0579605,0.477843
3.328000000,2.0573,0,0.594039,2.45808,0.00453662,0.28805,0.117907,3.15701,0.0902309,0.458607,0.0701364,0.432769
3.370666667,2.02098,0.00247448,0.766285,2.125,0,0.286124,0.0732043,3.18585,0.0437345,0.328173,0.0683433,0.397534
3.413333333,2.20312,0.0603598,0.700754,1.82261,0,0.186264,0.0438651,3.29268,0.0442143,0.360247,0.0671909,0.281097
3.456000000,2.66437,0.124208,0.31079,1.80816,0,0.182296,0.0623335,3.3134,0.0445062,0.607161,0.0722583,0.268996
3.498666667,2.89706,0.120941,0.164869,1.64946,0,0.517463,0.0852364,3.07128,0.18321,0.576283,0.0561707,0.158526
