TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0.728544,0.599489,1.0423,0.706693,0.136726,0.59402,0.355533,0.549677,0.787861,0.38972,0.169023,0.9183
0.085333333,0.21087,0.765663,1.33722,1.02397,0.707626,0.239243,0.350311,0.503493,0.0945971,0.247918,0.834528,0.219074
0.128000000,0.332039,0.350535,0.558899,1.11565,0.87723,0.0149386,0.602139,0.321695,0.0593041,0.373693,1.43612,0.52708
0.170666667,0.767262,0.00455618,0.0754692,1.12164,1.04114,0.301428,0.676001,0.355398,0.012474,0.299586,0.875564,1.22102
0.213333333,1.10487,0.0136783,0.0595767,0.901305,1.02859,0.554022,0.544885,0.343658,0.017064,0.177543,0.371151,1.36668
0.256000000,1.32734,0.0536567,0,0.592061,0.708348,0.430362,0.42525,0.410892,0.692991,0.0797648,0.116982,1.38651
0.298666667,1.3907,0.123707,0.00120816,0.172229,0.219116,0.00102529,0.344462,1.2985,1.06322,0.301767,0,1.23509
0.341333333,0.828185,0.504622,0.476593,0.0418076,0.177354,0.107368,0.0852451,2.16275,1.43006,0.439607,7.22488e-05,0.831124
0.384000000,0.391681,0.552206,0.901171,0.0983212,0,0.252326,0.120904,2.72032,0.993476,0.0974472,0.00148613,0.223783
0.426666667,0.497059,0.631761,0.628946,0.302449,0.193592,0.177676,0.344779,2.72867,0.469673,0,0.00384701,0.0975454
0.469333333,0.266498,0.563415,0.219614,1.00961,0.430211,0.379751,0.516357,2.35416,0.246017,0.0186251,0.431497,0.000514444
0.512000000,0.17229,0.824819,0.308379,0.546209,0.134459,0.283685,1.00387,2.16358,0.60033,0.058054,0.531836,0.000521375
0.554666667,0.381763,0.508851,0.113893,0.37675,0.00427643,0.294622,1.70176,1.71565,0.744003,0.0838974,0.517326,0.000729604
0.597333333,0.840726,0.229199,0.00178227,0.430847,0,0.440248,1.93212,1.41639,0.6067,0.225071,0.466775,0.000696113
0.640000000,1.37907,0.0104117,0.00323361,0.341558,0,1.05898,1.81727,0.821871,0.439667,0.465155,0.356636,0.00066477
0.682666667,1.42842,0.102149,0.140653,0.154763,0,2.56357,0.786964,0.183625,0.0575232,0.505308,0.256318,0.0216557
