TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.021333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.042666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.064000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.085333333,-462.45,-3.03678,3.33798,4.16755,3.99549,7.09138,-0.68913,-1.31742,-3.50865,2.91365,1.74128,3.99747,1.58753,1.32478,0.656479,1.69828,-3.19692,-1.42001,-3.00542,2.60361,0.364306
0.106666667,-376.847,5.33966,3.57993,11.3923,4.27363,9.50091,-1.34454,4.5779,1.1371,3.97122,-1.22747,3.34338,1.24012,1.11198,-4.46693,0.677413,-1.70119,0.81137,-2.78437,1.41299,-2.84834
0.128000000,-376.839,4.13805,6.13166,10.003,4.61074,9.22348,3.11727,6.65486,0.790826,5.36208,-0.88435,3.27507,-2.24109,3.06247,-1.71246,3.73994,-0.0457612,2.40305,-4.55219,0.865452,-0.672131
0.149333333,-378.834,8.09105,9.43382,10.2202,5.124,9.25504,-0.0716104,5.82239,0.603703,6.08809,0.251837,2.78539,-2.36954,4.08742,-2.23371,2.80187,1.42919,2.36322,-3.23142,-0.0275114,-2.90951
0.170666667,-328.936,9.53444,-4.29487,21.0219,10.0093,7.77309,-16.252,-0.697287,0.0153525,-5.31495,-6.93196,6.60371,-7.45264,-4.68359,-1.74799,4.77119,-7.9948,0.180076,-2.0971,1.1014,-1.60446
0.192000000,-320.462,1.50817,1.22398,13.623,-2.02273,5.79255,-14.5233,3.26082,0.0345007,-2.49178,-4.68706,4.2661,-5.7265,1.5358,-3.10598,3.98263,-5.76855,-0.376227,-1.30823,1.61197,-3.07244
0.213333333,-237.674,0.268155,-9.59787,19.612,9.42069,17.9145,-16.7738,-2.62047,1.54356,-1.13865,-7.6551,2.82493,-7.98827,-5.01492,-0.469021,5.03243,-7.47052,-1.65933,0.305675,1.41306,-5.20067
0.234666667,-222.864,3.67587,-14.1765,16.8776,3.95765,16.7874,-15.4011,-4.08726,-1.27517,-1.2839,-8.71902,1.69642,-10.0661,-1.61586,1.73047,6.98111,-9.5622,-2.47465,-1.3626,0.922327,-8.27042
0.256000000,-229.039,2.34353,-14.5856,16.8408,5.63807,14.5474,-20.1706,-4.50645,-0.79276,0.19032,-7.5453,0.962962,-8.96694,-3.34054,-2.19961,4.22426,-9.42294,-4.8256,-2.29647,-0.878757,-7.9199
0.277333333,-231.731,-8.61441,-12.1743,18.7844,5.17458,11.011,-16.0183,-2.62577,0.838952,2.57516,-9.27541,-0.939689,-9.50333,-2.72159,-6.10535,3.64013,-10.6484,-3.61105,-1.25723,0.0174828,-6.11521
0.298666667,-272.65,2.23017,-1.92543,19.8988,8.3188,13.3916,-13.1669,-1.09054,-3.02845,-4.49933,-11.4397,2.72503,-6.72389,-2.09079,-4.79814,5.10648,-10.4249,-3.89415,-2.65813,-1.7921,-5.80052
0.320000000,-257.16,-9.92962,0.497182,21.5327,4.48417,9.18259,-10.576,0.587756,-6.40574,-0.154639,-4.3046,1.31003,-7.17949,-2.38706,-7.75688,3.47283,-8.1512,-1.05914,-4.8918,-1.05348,-5.29536
0.341333333,-220.65,-19.434,-3.88202,23.6145,-1.48076,11.7954,-10.8048,-1.67247,-6.9891,2.58463,-5.38059,-0.592764,-8.00338,-1.68903,-6.09037,4.85143,-5.5723,-1.11443,-4.4906,-0.576695,-3.42276
0.362666667,-208.061,-14.6943,-8.22663,25.2883,1.24415,12.0063,-11.059,-2.48438,-10.5122,1.33378,-5.73863,1.6643,-6.53071,-0.958769,-7.53986,4.95533,-5.66508,-0.744135,-4.52921,-0.404891,-5.14451
0.384000000,-205.784,-11.0338,-6.19707,25.586,1.18348,13.175,-10.7464,-1.63351,-10.1761,-0.156887,-3.86635,-0.992136,-6.01613,-1.52756,-5.40837,6.69795,-5.25107,1.66354,-3.08218,-0.932583,-4.93388
0.405333333,-211.525,-13.7183,4.02164,26.5379,-2.22783,12.2408,-6.40706,0.838564,-14.5571,1.73922,-0.773694,-0.173097,-4.52399,1.30445,-4.38913,3.57851,-4.48142,1.51472,-2.33325,-2.01269,-3.79685
0.426666667,-226.673,-30.0252,4.95433,31.7067,-0.28639,9.75008,-3.73991,7.72795,-6.40227,6.72322,-1.42684,-1.21062,-1.19766,1.13093,-0.87816,5.46306,-5.19478,3.71597,-7.021,-4.27966,-4.15932
0.448000000,-225.176,-37.0534,2.39769,26.4798,0.574203,7.92533,-5.55759,8.57837,-3.79551,5.21221,-0.660131,3.83612,0.811657,2.82035,-2.49019,6.18967,-3.25645,1.17802,-3.55589,0.637624,-1.03836
0.469333333,-220.598,-12.2256,4.8768,20.0382,4.03185,6.27414,-9.26233,3.71312,-5.68453,3.72884,-3.29193,1.88944,2.01169,2.93188,-2.50235,7.45809,-1.38466,3.14496,-3.50864,-0.4884,-2.26955
0.490666667,-300.569,-15.6298,9.59019,17.6386,2.0002,7.82355,-3.80521,6.51507,-1.48356,4.56533,-1.04931,3.79762,-2.195,4.62242,0.352384,7.22448,-2.42089,1.9874,-2.02106,1.01088,-1.75223
0.512000000,-324.5,-8.29955,4.43533,20.204,-1.41918,6.58261,-6.44478,6.16434,-1.64518,3.7687,-0.0870672,3.00902,-3.1726,0.870816,-3.00979,5.66816,-1.89484,0.262068,-2.70692,1.54225,-3.15133
